id,state_id,id_1_id_system,id_1_assigning_ord_code,id_1_id_code,name_verification,name_prefix,name_first,name_middle,name_last,name_suffix,name_maiden,other_name_1_type,other_name_1_prefix,other_name_1_first,other_name_1_middle,other_name_1_last,other_name_1_suffix,sex,birth_date,birth_city,birth_state_abbrev,birth_country_code,birth_date_entered_us,birth_multiple_status,address_1_type,address_1_street_number_name,address_1_apt_number,address_1_bldg_number,address_1_city,address_1_state_abbrev,address_1_postal_code,address_1_county_name,address_1_county_fips_code,address_1_country_code,address_1_latitude,address_1_longitude,telephone_1_type,telephone_1_primary_indicator,telephone_1_number,email_1_type,email_1_address,profile_thumbnail,hispanic_latino_ethnicity,old_ethnicity,racial_category_1,economic_disadvantaged,school_food_services_eligibility,characteristic_1_characteristic,characteristic_1_begin_date,characteristic_1_end_date,characteristic_1_designated_by,limited_english_proficiency,language_1,home_language_1,disability_1_disability,disability_1_diagnosis,disability_1_order,section_504_disability_1,displacement_status_type,programs_1_program,programs_1_begin_date,programs_1_end_date,programs_1_designated_by,learning_styles_visual,learning_styles_auditory,learning_styles_tactile,cohort_year_type,cohort_year,indicator_1_name,indicator_1_indicator,indicator_1_begin_date,indicator_1_end_date,indicator_1_designated_by
,900000014,,,,Birth certificate,,JASON,,SANDERS,,,,,,,,,Male,1999-03-13,Briarcliff Manor ,NY,US,,,,144 West 49 Street,2938,,New York,NY,10925,MANHATTAN,,US,,,Home,,(123) 456-7964,Home/Personal,jsanders@test.slidev.org,,,,White,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,
,900000015,,,,Birth certificate,,MATTHEW,,PRICE,,,,,,,,,Male,1999-03-14,Brighton ,NY,US,,,,8 West 125 Street,3718,,New York,NY,10341,QUEENS,,US,,,Home,,(123) 456-7965,Home/Personal,mprice@test.slidev.org,,,,White,,,,,,,,,,,,,Motor Impairment,,Special Education,,,,,,,,,,,,,
,900000016,,,,Birth certificate,,GARY,,BENNETT,,,,,,,,,Male,1999-03-15,Brutus ,NY,US,,,,59 West 55 Street,1254,,New York,NY,12462,MANHATTAN,,US,,,Home,,(123) 456-7966,Home/Personal,gbennett@test.slidev.org,,,,White,,,,,,,,,,,,,Sensory Impairment,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000017,,,,Birth certificate,,TIMOTHY,GYLES,WOOD,,,,,,,,,Male,1999-03-16,Buffalo ,NY,US,,,,103 West 46 Street,1862,,New York,NY,10934,QUEENS,,US,,,Home,,(123) 456-7967,Home/Personal,twood@test.slidev.org,,,,White,,Free,,,,,,,,,,,,,,,,,,,,,,,,,,
,900000018,,,,Birth certificate,,JOSE,,BARNES,,,,,,,,,Male,1999-03-17,Cambridge Valley ,NY,US,,,,24 West 51 Street,951,,New York,NY,10826,QUEENS,,US,,,Home,,(123) 456-7968,Home/Personal,jbarnes@test.slidev.org,,,,White,,,,,,,,,,,,,Sensory Impairment,,,,,,,,,,,,,,,
,900000019,,,,Birth certificate,,LARRY,,ROSS,,,,,,,,,Male,1999-03-18,Canajoharie ,NY,US,,,,132 West 122 Street,1914,,New York,NY,12553,MANHATTAN,,US,,,Home,,(123) 456-7969,Home/Personal,lross@test.slidev.org,,,,White,,Free,,,,,,,,,,,Other,,,,,,,,,,,,,,,
,900000020,,,,Birth certificate,,MARY,,HENDERSON,,,,,,,,,Female,1999-03-19,Canandaigua ,NY,US,,,,54 East 78 Street,3456,,New York,NY,10196,BROOKLYN,,US,,,Home,,(123) 456-7970,Home/Personal,mhenderson@test.slidev.org,,,,White,,Reduced price,,,,,,,,,,,Other,,,,,,,,,,,,,,,
,900000021,,,,Birth certificate,,PATRICIA,,COLEMAN,,,,,,,,,Female,1999-03-20,Canton ,NY,US,,,,150 East 100 Street,1283,,New York,NY,11352,QUEENS,,US,,,Home,,(123) 456-7971,Home/Personal,pcoleman@test.slidev.org,,,,White,,,,,,,,,,,,,Attention Deficit Hyperactivity Disorder (ADHD),,English as a Second Language (ESL),,,,,,,,,,,,,
,900000022,,,,Birth certificate,,LINDA,,JENKINS,,,,,,,,,Female,1999-03-21,Cape Vincent ,NY,US,,,,3 West 57 Street,3880,,New York,NY,11008,MANHATTAN,,US,,,Home,,(123) 456-7972,Home/Personal,ljenkins@test.slidev.org,,,,White,,Free,,,,,,,,,,,Attention Deficit Hyperactivity Disorder (ADHD),,,,,,,,,,,,,,,
,900000023,,,,Birth certificate,,BARBARA,,PERRY,,,,,,,,,Female,1999-03-22,Caroline ,NY,US,,,,38 West 67 Street,2313,,New York,NY,12189,BROOKLYN,,US,,,Home,,(123) 456-7973,Home/Personal,bperry@test.slidev.org,,,,White,,,,,,,,,,,,,,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000024,,,,Birth certificate,,ELIZABETH,,POWELL,,,,,,,,,Female,1999-03-23,Cato ,NY,US,,,,88 East 73 Street,2824,,New York,NY,11706,QUEENS,,US,,,Home,,(123) 456-7974,Home/Personal,epowell@test.slidev.org,,,,White,,Free,,,,,,,,,,,,,,,,,,,,,,,,,,
,900000025,,,,Birth certificate,,JENNIFER,,LONG,,,,,,,,,Female,1999-03-24,Catskill ,NY,US,,,,31 West 42 Street,3910,,New York,NY,11676,MANHATTAN,,US,,,Home,,(123) 456-7975,Home/Personal,jlong@test.slidev.org,,,,White,,Free,,,,,,,,,,,Sensory Impairment,,,,,,,,,,,,,,,
,900000026,,,,Birth certificate,,MARIA,,PATTERSON,,,,,,,,,Female,1999-03-25,Cayuga ,NY,US,,,,32 East 124 Street,2467,,New York,NY,12634,BROOKLYN,,US,,,Home,,(123) 456-7976,Home/Personal,mpatterson@test.slidev.org,,,,White,,,,,,,,,,,,,,,Special Education,,,,,,,,,,,,,
,900000027,,,,Birth certificate,,SUSAN,,HUGHES,,,,,,,,,Female,1999-03-26,Cayuga Heights ,NY,US,,,,38 East 134 Street,2059,,New York,NY,12119,MANHATTAN,,US,,,Home,,(123) 456-7977,Home/Personal,shughes@test.slidev.org,,,,White,,Reduced price,,,,,,,,,,,,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000028,,,,Birth certificate,,MARGARET,,FLORES,,,,,,,,,Female,1999-03-27,Cazenovia ,NY,US,,,,81 West 109 Street,241,,New York,NY,10093,QUEENS,,US,,,Home,,(123) 456-7978,Home/Personal,mflores@test.slidev.org,,,,Black - African American,,Reduced price,,,,,,,,,,,Other,,,,,,,,,,,,,,,
,900000029,,,,Birth certificate,,DOROTHY,,WASHINGTON,,,,,,,,,Female,1999-03-28,Cheektowaga ,NY,US,,,,17 West 108 Street,1532,,New York,NY,10825,BROOKLYN,,US,,,Home,,(123) 456-7979,Home/Personal,dwashington@test.slidev.org,,,,Black - African American,,Reduced price,,,,,,,,,,,,,,,,,,,,,,,,,,
,900000030,,,,Birth certificate,,LISA,,BUTLER,,,,,,,,,Female,1999-03-29,Chili ,NY,US,,,,52 West 61 Street,2899,,New York,NY,11657,QUEENS,,US,,,Home,,(123) 456-7980,Home/Personal,lbutler@test.slidev.org,,,,Black - African American,,Reduced price,,,,,,,,,,,,,,,,,,,,,,,,,,
,900000031,,,,Birth certificate,,NANCY,,SIMMONS,,,,,,,,,Female,1999-03-30,Clifton Park ,NY,US,,,,100 East 128 Street,3410,,New York,NY,12327,QUEENS,,US,,,Home,,(123) 456-7981,Home/Personal,nsimmons@test.slidev.org,,,,Black - African American,,,,,,,,,,,,,,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000032,,,,Birth certificate,,KAREN,,FOSTER,,,,,,,,,Female,1999-03-31,Clinton ,NY,US,,,,25 West 146 Street,3394,,New York,NY,11465,QUEENS,,US,,,Home,,(123) 456-7982,Home/Personal,kfoster@test.slidev.org,,,,American Indian - Alaskan Native,,Free,,,,,,,,,,,Other,,,,,,,,,,,,,,,
,900000033,,,,Birth certificate,,BETTY,,GONZALES,,,,,,,,,Female,1999-04-01,Cohoes ,NY,US,,,,125 East 145 Street,507,,New York,NY,10694,QUEENS,,US,,,Home,,(123) 456-7983,Home/Personal,bgonzales@test.slidev.org,,,,American Indian - Alaskan Native,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,900000034,,,,Birth certificate,,HELEN,,BRYANT,,,,,,,,,Female,1999-04-02,Colden ,NY,US,,,,68 East 25 Street,3761,,New York,NY,10937,MANHATTAN,,US,,,Home,,(123) 456-7984,Home/Personal,hbryant@test.slidev.org,,,,American Indian - Alaskan Native,,Free,,,,,,,,,,,,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000035,,,,Birth certificate,,SANDRA,,ALEXANDER,,,,,,,,,Female,1999-04-03,Colonie ,NY,US,,,,109 East 109 Street,2629,,New York,NY,10401,MANHATTAN,,US,,,Home,,(123) 456-7985,Home/Personal,salexander@test.slidev.org,,,,American Indian - Alaskan Native,,Reduced price,,,,,,,,,,,Other,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000036,,,,Birth certificate,,DONNA,,RUSSELL,,,,,,,,,Female,1999-04-04,Conquest ,NY,US,,,,20 West 57 Street,662,,New York,NY,12227,QUEENS,,US,,,Home,,(123) 456-7986,Home/Personal,drussell@test.slidev.org,,,,American Indian - Alaskan Native,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,
,900000037,,,,Birth certificate,,CAROL,,GRIFFIN,,,,,,,,,Female,1999-04-05,Cooperstown ,NY,US,,,,61 West 111 Street,2471,,New York,NY,11641,QUEENS,,US,,,Home,,(123) 456-7987,Home/Personal,cgriffin@test.slidev.org,,,,American Indian - Alaskan Native,,Free,,,,,,,,,,,,,,,,,,,,,,,,,,
,900000038,,,,Birth certificate,,RUTH,,DIAZ,,,,,,,,,Female,1999-04-06,Cortland ,NY,US,,,,79 West 23 Street,3762,,New York,NY,12038,MANHATTAN,,US,,,Home,,(123) 456-7988,Home/Personal,rdiaz@test.slidev.org,,,,Asian,,,,,,,,,,,,,,,Special Education,,,,,,,,,,,,,
,900000039,,,,Birth certificate,,SHARON,,HAYES,,,,,,,,,Female,1999-04-07,Danby ,NY,US,,,,73 West 41 Street,525,,New York,NY,12416,MANHATTAN,,US,,,Home,,(123) 456-7989,Home/Personal,shayes@test.slidev.org,,,,Asian,,Free,,,,,,,,,,,,,Special Education,,,,,,,,,,,,,
,900000040,,,,Birth certificate,,MICHELLE,,MYERS,,,,,,,,,Female,1999-04-08,Dansville ,NY,US,,,,99 East 82 Street,150,,New York,NY,10265,QUEENS,,US,,,Home,,(123) 456-7990,Home/Personal,mmyers@test.slidev.org,,,,Asian,,Free,,,,,,,,,,,Attention Deficit Hyperactivity Disorder (ADHD),,,,,,,,,,,,,,,
