ParentUSI,Verification,PersonalTitlePrefix,FirstName,MiddleName,LastSurname,GenerationCodeSuffix,MaidenName,Sex
900790,Hospital certificate,Ms,Shelly,Dianne,Mercer,,,Female
900791,Immigration document/visa,Mr,Byron,John,Kidd,,,Male
900792,Entry in family Bible,Mr,Jorge,Enrique,Brooks,,,Male
900793,Baptismal or church certificate,Mr,Tim,Tyrone,Riddle,,,Male
900794,Physicians certificate,Ms,Francesca,Jeri,Mills,,,Female
900795,Birth certificate,Ms,Ruth,Michael,Mcclain,,,Female
900796,Life insurance policy,Ms,Angela,Gina,Carr,,,Female
900797,Immigration document/visa,Mr,Joshua,Kyle,Wyatt,Jr,,Male
900798,Immigration document/visa,Ms,Gertrude,Bonita,Warner,,,Female
900799,Baptismal or church certificate,Mr,Rafael,Melvin,Hicks,,,Male
900800,Baptismal or church certificate,Ms,Clarice,Lela,Hopper,Jr,,Female
900801,Passport,Mr,Lance,Ted,Pierce,,,Male
900802,Other official document,Ms,Cherry,Tamera,Barber,,,Female
900803,Baptismal or church certificate,Mr,Edwin,Warren,Douglas,Jr,,Male
900804,Other non-official document,Ms,Magdalena,Sybil,Pennington,,,Female
900805,Baptismal or church certificate,Mr,Adam,Mario,Hester,Jr,,Male
900806,Passport,Mr,Enrique,Zachary,Knox,,,Male
900807,Other,Ms,Tracey,Helena,Acosta,,,Female
900808,Other official document,Mr,Rick,Seth,Powell,,,Male
900809,Entry in family Bible,Ms,Lois,Rose,Stafford,,,Female
900810,Other,Ms,Marcia,Lidia,Walton,,,Female
900811,Immigration document/visa,Ms,Jodie,Sherrie,Williams,,,Female
900812,Other official document,Mr,Frank,Salvador,Craft,Jr,,Male
900813,Other,Ms,Phyllis,Fanny,Eaton,,,Female
900814,Other official document,Mr,Javier,Ralph,Meadows,,,Male
900815,Baptismal or church certificate,Mr,Julio,Cory,Preston,Jr,,Male
900816,Other official document,Ms,Rachel,Marlene,Chang,Jr,,Female
900817,Baptismal or church certificate,Ms,Carey,Lupe,Spence,,,Female
900818,Life insurance policy,Mr,Patrick,Kyle,Blair,,,Male
900819,Baptismal or church certificate,Ms,Billie,Deborah,Conner,,,Female
900820,Passport,Mr,Terrence,Chris,Montgomery,Jr,,Male
900821,Previously verified school records,Ms,Gay,Patti,Schroeder,,,Female
900822,Physicians certificate,Ms,Frances,Susana,Fulton,Jr,,Female
900823,Entry in family Bible,Mr,Cecil,Bernard,Flowers,,,Male
900824,Passport,Ms,Peggy,Aline,Henderson,,,Female
900825,Baptismal or church certificate,Ms,Charity,Kayla,Holloway,,,Female
900826,Passport,Mr,Clyde,Clayton,George,,,Male
900827,Entry in family Bible,Ms,Melinda,Lorene,Raymond,,,Female
900828,Physicians certificate,Mr,Howard,Gene,Stephens,,,Male
900829,Other non-official document,Ms,Paulette,Francine,Stewart,,,Female
900830,Other non-official document,Mr,Phillip,Phillip,Kinney,,,Male
900831,Other non-official document,Ms,Sadie,Ericka,Witt,,,Female
900832,State-issued ID,Ms,Gay,Letha,Barr,,,Female
900833,Other,Mr,Troy,Brent,Suarez,,,Male
900834,Passport,Ms,Angel,Esmeralda,Hutchinson,Jr,,Female
900835,Passport,Mr,Jared,Rafael,Cortez,,,Male
900836,Hospital certificate,Ms,Amie,Dee,Garrison,,,Female
900837,Hospital certificate,Mr,Ernest,Freddie,Morales,,,Male
900838,Other,Ms,Priscilla,Lindsey,Kelley,,,Female
900839,Entry in family Bible,Ms,Eileen,Erma,Koch,,,Female
900840,Immigration document/visa,Mr,Randall,Daniel,Hebert,Jr,,Male
900841,State-issued ID,Ms,Amalia,Elma,Quinn,,,Female
900842,Passport,Mr,Alvin,Max,Maldonado,,,Male
900843,Hospital certificate,Mr,Jon,Wade,Maddox,,,Male
900844,Previously verified school records,Mr,Peter,Gordon,Blevins,Jr,,Male
900845,Baptismal or church certificate,Ms,Tania,Juliet,Kinney,,,Female
900846,Baptismal or church certificate,Mr,Howard,Lance,Chavez,,,Male
900847,Passport,Ms,Isabelle,Julianne,Banks,,,Female
900848,Baptismal or church certificate,Mr,Charles,Anthony,Blanchard,Jr,,Male
900849,Parents affidavit,Ms,Claire,Dionne,Moore,,,Female
900850,Baptismal or church certificate,Ms,Lorene,Veronica,Allison,Jr,,Female
900851,Other official document,Mr,Christopher,Donald,Bowman,,,Male
900852,Hospital certificate,Ms,Caroline,Natasha,Levine,,,Female
900853,Other official document,Mr,Vincent,Stanley,Dyer,,,Male
900854,Birth certificate,Ms,Janine,Vilma,Cain,Jr,,Female
900855,Other non-official document,Mr,Jason,Julio,Case,,,Male
900856,State-issued ID,Ms,Mandy,Elva,Swanson,,,Female
900857,Other,Mr,Ruben,Eddie,Oneill,,,Male
900858,Life insurance policy,Ms,Jenny,Rose,Pace,Jr,,Female
900859,Immigration document/visa,Mr,Terry,Brian,White,,,Male
900860,Other non-official document,Ms,Flora,Elvia,Cannon,,,Female
900861,Physicians certificate,Ms,Isabella,Callie,Conley,,,Female
900862,Previously verified school records,Mr,Leroy,Lance,Fernandez,,,Male
900863,Other,Mr,Alfred,Rene,Hinton,,,Male
900864,Other official document,Ms,Jaclyn,Gwendolyn,Cleveland,,,Female
900865,State-issued ID,Mr,Francis,Herman,Oneil,Jr,,Male
900866,Entry in family Bible,Mr,Maurice,Peter,Humphrey,Jr,,Male
900867,State-issued ID,Ms,Winnie,Noemi,Alvarez,,,Female
900868,Baptismal or church certificate,Mr,Barry,Dale,Jensen,,,Male
900869,Life insurance policy,Ms,Jordan,Queen,Travis,Jr,,Female
900870,Other official document,Ms,Kasey,Terri,Horn,,,Female
900871,Baptismal or church certificate,Mr,Phillip,Dennis,Mercer,Jr,,Male
900872,Passport,Ms,Wilda,Karen,Travis,,,Female
900873,Other,Mr,Vincent,Bobby,Duran,,,Male
900874,Baptismal or church certificate,Mr,Harvey,Julian,Hobbs,,,Male
900875,Passport,Ms,Tracey,Hattie,Flores,,,Female
900876,Passport,Ms,Alissa,Manuela,Beasley,,,Female
900877,Entry in family Bible,Mr,Leslie,Kelly,Graves,,,Male
900878,Other,Ms,Vivian,Carrie,Burton,,,Female
900879,Entry in family Bible,Mr,Alfred,Jason,Banks,,,Male
900880,State-issued ID,Mr,Ramon,Shane,Byrd,,,Male
900881,Other official document,Ms,Rebecca,Ivy,Chambers,,,Female
900882,Life insurance policy,Mr,Martin,Lance,Vincent,,,Male
900883,Passport,Mr,Dennis,Vernon,Boyd,,,Male
900884,Previously verified school records,Ms,Jeannette,Myrna,Merritt,,,Female
900885,Life insurance policy,Mr,Bryan,Nelson,Levy,Jr,,Male
900886,Other official document,Mr,Walter,Ben,Cross,,,Male
900887,Hospital certificate,Ms,Cornelia,Lesley,Kim,,,Female
900888,Immigration document/visa,Mr,Ken,Arthur,Ford,,,Male
900889,Physicians certificate,Ms,Enid,Angelica,Decker,,,Female
900890,Physicians certificate,Mr,Dennis,Virgil,Santos,Jr,,Male
900891,Entry in family Bible,Ms,Ernestine,Geneva,Harrell,,,Female
900892,Parents affidavit,Ms,Lynda,Shawn,Galloway,,,Female
900893,Entry in family Bible,Mr,Karl,Andy,Winters,,,Male
900894,Previously verified school records,Ms,Daisy,Deirdre,Baird,,,Female
900895,Birth certificate,Mr,Patrick,Lee,Lawrence,,,Male
900896,Other,Ms,Florine,Joyce,Sexton,,,Female
900897,Entry in family Bible,Mr,Greg,Kirk,Malone,Jr,,Male
900898,Passport,Mr,Louis,Lloyd,David,Jr,,Male
900899,State-issued ID,Ms,Nina,Simone,Carey,,,Female
900900,Other official document,Mr,Roger,Sam,Walls,,,Male
900901,Entry in family Bible,Ms,Joann,Candice,Dudley,Jr,,Female
900902,Physicians certificate,Mr,Jason,Tom,Perez,,,Male
900903,Other non-official document,Ms,Jillian,Brianna,Washington,,,Female
900904,Parents affidavit,Mr,Mitchell,Sam,Haley,,,Male
900905,Previously verified school records,Ms,Michelle,Bridget,Cortez,,,Female
900906,Entry in family Bible,Mr,Victor,Gerald,Mcmillan,,,Male
900907,Other,Ms,Becky,Lucille,Sims,,,Female
900908,Baptismal or church certificate,Mr,Paul,Kurt,Wolf,Jr,,Male
900909,Life insurance policy,Ms,Mattie,Sharon,Harding,,,Female
900910,Birth certificate,Mr,Arnold,Robert,Mccray,Jr,,Male
900911,Entry in family Bible,Ms,Annette,Luella,Villarreal,,,Female
900912,Other non-official document,Mr,Terrence,Oscar,Coleman,,,Male
900913,Passport,Mr,Ian,Dave,Hill,,,Male
900914,Entry in family Bible,Ms,Millicent,Jenna,Vincent,,,Female
900915,Physicians certificate,Mr,Raymond,Raymond,Lindsay,,,Male
900916,Other non-official document,Ms,Esther,Lilly,Caldwell,Jr,,Female
900917,Physicians certificate,Mr,Tommy,Joseph,Horne,Jr,,Male
900918,Physicians certificate,Ms,Celeste,Samantha,Fisher,Jr,,Female
900919,Entry in family Bible,Mr,Greg,Jonathan,Booth,Jr,,Male
900920,Hospital certificate,Ms,Violet,Bertha,Lynn,Jr,,Female
900921,Immigration document/visa,Mr,Gregory,Milton,Chaney,,,Male
900922,Baptismal or church certificate,Ms,Candice,Iris,Harrison,,,Female
900923,Parents affidavit,Mr,Shawn,Roger,Henderson,,,Male
900924,Previously verified school records,Ms,Iris,Jocelyn,Nielsen,,,Female
900925,Baptismal or church certificate,Mr,Richard,Harry,Hull,,,Male
900926,Birth certificate,Ms,Laurie,Lou,Lambert,Jr,,Female
900927,Other,Mr,Michael,Jimmy,Saunders,,,Male
900928,State-issued ID,Ms,Ericka,Kristine,Robertson,,,Female
900929,Life insurance policy,Ms,Antonia,Rachelle,Mccarthy,,,Female
900930,Birth certificate,Mr,Adrian,Terrance,Berry,Jr,,Male
900931,Life insurance policy,Ms,Rhoda,Bridgett,Kim,Jr,,Female
900932,Other,Mr,Sam,Shawn,Baker,,,Male
900933,Immigration document/visa,Ms,Heather,Jodie,Small,,,Female
900934,State-issued ID,Mr,Nelson,Christopher,Bright,,,Male
900935,State-issued ID,Mr,Edgar,Javier,Craig,,,Male
900936,Entry in family Bible,Ms,Sabrina,Katelyn,Gregory,,,Female
900937,Life insurance policy,Mr,Marc,Leslie,Burton,,,Male
900938,Hospital certificate,Ms,Linda,Yvette,Jackson,Jr,,Female
900939,State-issued ID,Mr,Zachary,Jay,Cole,,,Male
900940,Baptismal or church certificate,Ms,Felicia,Annie,Good,Jr,,Female
900941,Physicians certificate,Ms,Monique,Molly,Jensen,,,Female
900942,Other non-official document,Mr,Ricardo,Harry,Booth,,,Male
900943,Baptismal or church certificate,Ms,Selena,Kaitlin,Hines,,,Female
900944,Other,Mr,Sidney,Jesus,Paul,,,Male
900945,Other official document,Mr,Bruce,Shane,Dean,,,Male
900946,Previously verified school records,Mr,Manuel,Allen,Alvarado,,,Male
900947,Other non-official document,Mr,Victor,Adrian,Carpenter,Jr,,Male
900948,Birth certificate,Ms,Merle,Mollie,Landry,,,Female
900949,Immigration document/visa,Mr,Willie,Wayne,Emerson,,,Male
900950,Baptismal or church certificate,Ms,Jewell,Traci,Barr,,,Female
900951,Hospital certificate,Mr,Kevin,Stanley,Mosley,,,Male
900952,Birth certificate,Ms,Nona,Joanne,Clements,Jr,,Female
900953,Parents affidavit,Mr,Frank,Victor,Lynn,,,Male
900954,Baptismal or church certificate,Ms,Christa,Joyce,Snow,,,Female
900955,Birth certificate,Mr,Jerome,Glen,James,,,Male
900956,Previously verified school records,Ms,Lula,Althea,Doyle,Jr,,Female
900957,Immigration document/visa,Ms,Savannah,Anne,Dickerson,,,Female
900958,Previously verified school records,Ms,Mary,Muriel,Wong,,,Female
900959,Physicians certificate,Ms,Shawna,Kendra,Johnston,Jr,,Female
900960,Other official document,Ms,Deidre,Allyson,Romero,,,Female
900961,Other,Mr,Lee,Mitchell,Freeman,,,Male
900962,Entry in family Bible,Mr,Earl,Brian,Allison,,,Male
900963,Entry in family Bible,Ms,Carly,June,Callahan,,,Female
900964,Birth certificate,Mr,Anthony,Wade,Burke,,,Male
900965,State-issued ID,Ms,Mara,Allison,Potter,Jr,,Female
900966,Previously verified school records,Ms,Aimee,Leticia,Pruitt,,,Female
900967,Parents affidavit,Mr,Mario,Armando,Nicholson,,,Male
900968,Immigration document/visa,Mr,Francisco,Philip,Carney,,,Male
900969,Other non-official document,Mr,Felix,Javier,Hickman,Jr,,Male
900970,Hospital certificate,Ms,Zelma,Grace,Garrett,,,Female
900971,Immigration document/visa,Mr,Arnold,Fernando,Dickson,,,Male
900972,Life insurance policy,Ms,Lauren,Gayle,Lindsey,,,Female
900973,Previously verified school records,Mr,Paul,Edgar,Rivas,Jr,,Male
900974,Hospital certificate,Mr,Tommy,Donald,Rodgers,Jr,,Male
900975,Baptismal or church certificate,Ms,Nell,Minerva,Solomon,Jr,,Female
900976,Passport,Mr,Andre,Ramon,Knowles,,,Male
900977,Other official document,Ms,Young,Harriet,Mcfarland,,,Female
900978,Parents affidavit,Mr,Earl,Harold,Battle,,,Male
900979,Hospital certificate,Ms,Priscilla,Jennie,Fox,,,Female
900980,Baptismal or church certificate,Mr,Bobby,Peter,Hess,,,Male
900981,Other official document,Ms,Marisol,Staci,Delaney,,,Female
900982,Hospital certificate,Mr,Ernest,Reginald,Owens,,,Male
900983,Passport,Ms,Gay,Sabrina,Rich,,,Female
900984,Other official document,Mr,Jimmy,Milton,Britt,,,Male
900985,Immigration document/visa,Ms,Deborah,Isabella,Sears,,,Female
900986,Immigration document/visa,Mr,Johnny,Bill,Duran,,,Male
900987,Physicians certificate,Ms,Ashlee,Jeanie,Hart,,,Female
900988,State-issued ID,Mr,Curtis,Jay,Myers,,,Male
900989,Other official document,Ms,Terra,Ina,Henderson,,,Female
900990,Other official document,Ms,Lorraine,Ingrid,Rowland,,,Female
900991,Previously verified school records,Mr,Jeffery,Marshall,Jackson,,,Male
900992,State-issued ID,Mr,Benjamin,Ted,Browning,,,Male
900993,Other non-official document,Mr,Nathaniel,Darren,Hansen,,,Male
900994,Entry in family Bible,Ms,Latonya,Michelle,Cook,,,Female
900995,Immigration document/visa,Mr,Casey,Max,Petersen,,,Male
900996,Previously verified school records,Ms,Maryann,Becky,Higgins,,,Female
900997,Other non-official document,Mr,Max,Alan,Stuart,,,Male
900998,Life insurance policy,Ms,Jeanette,Sophia,Chaney,,,Female
900999,Other,Mr,Andrew,Jimmie,Murphy,,,Male
901000,Immigration document/visa,Ms,Kristina,Annmarie,Gaines,,,Female
901001,Other,Mr,Marc,Dwight,Maxwell,,,Male
901002,Other official document,Ms,Ingrid,Kathie,Britt,,,Female
901003,Life insurance policy,Mr,Maurice,Tommy,Powers,,,Male
901004,Other official document,Ms,Viola,Johanna,Walton,Jr,,Female
901005,Passport,Ms,Kerry,Chrystal,Keller,,,Female
901006,Other,Ms,Dolly,Georgina,Solis,,,Female
901007,Baptismal or church certificate,Mr,Clifford,Ken,Riley,,,Male
901008,Immigration document/visa,Ms,Helga,Hilary,Anderson,,,Female
901009,Immigration document/visa,Mr,Victor,Steven,Mcneil,,,Male
901010,Birth certificate,Ms,Janna,Louisa,Koch,,,Female
901011,Baptismal or church certificate,Ms,Lynette,Janna,Higgins,,,Female
901012,Entry in family Bible,Mr,Edward,Tony,Franco,Jr,,Male
901013,Other,Ms,Shelly,Denise,Lyons,Jr,,Female
901014,Baptismal or church certificate,Mr,Clarence,Freddie,Rivas,,,Male
901015,Baptismal or church certificate,Mr,Brandon,Carl,Morton,,,Male
901016,Baptismal or church certificate,Ms,Helen,Trudy,Fisher,Jr,,Female
901017,Baptismal or church certificate,Mr,Brian,Oscar,Long,,,Male
901018,Parents affidavit,Ms,Lauren,Sadie,Glenn,,,Female
901019,State-issued ID,Ms,Vanessa,Consuelo,Ellison,Jr,,Female
901020,Other,Mr,Tony,Travis,Sampson,,,Male
901021,State-issued ID,Ms,Isabel,Jeanne,Burt,,,Female
901022,Physicians certificate,Ms,Candice,Bianca,Barber,,,Female
901023,State-issued ID,Mr,Leonard,Jacob,Bauer,Jr,,Male
901024,State-issued ID,Ms,Florence,Helena,Kim,,,Female
901025,Entry in family Bible,Mr,Herbert,Mark,Edwards,Jr,,Male
901026,Entry in family Bible,Ms,Karin,Charmaine,Rose,,,Female
901027,Parents affidavit,Mr,Paul,Arnold,Waller,,,Male
901028,Baptismal or church certificate,Ms,Jeanine,Sheena,Gordon,Jr,,Female
901029,Other official document,Mr,Scott,Brent,Buckley,Jr,,Male
901030,Baptismal or church certificate,Mr,Darrell,Andre,Conrad,,,Male
901031,Immigration document/visa,Ms,Tanya,Melissa,Gentry,,,Female
901032,Other non-official document,Mr,Antonio,Willard,Bentley,,,Male
901033,Hospital certificate,Ms,Maura,Kay,Webb,,,Female
901034,Baptismal or church certificate,Mr,Jesus,Milton,Combs,Jr,,Male
901035,Passport,Ms,Jacqueline,Jeanine,Johnston,,,Female
901036,Passport,Mr,Lloyd,Jack,Riggs,,,Male
901037,Previously verified school records,Ms,Nanette,Aurelia,George,,,Female
901038,Immigration document/visa,Mr,Enrique,Jack,Britt,Jr,,Male
901039,Other official document,Ms,Penny,Georgina,Mcmahon,Jr,,Female
901040,Baptismal or church certificate,Ms,Carrie,Ruth,Mccray,Jr,,Female
901041,Immigration document/visa,Mr,Lloyd,Leon,Powell,,,Male
901042,Hospital certificate,Mr,Kent,Tony,Hardy,,,Male
901043,Parents affidavit,Mr,Phillip,Harry,Spears,,,Male
901044,Other non-official document,Ms,Sasha,Suzanne,Bryan,Jr,,Female
901045,State-issued ID,Ms,Ruby,Tami,Perez,,,Female
901046,Baptismal or church certificate,Mr,Mark,Fred,Barnes,,,Male
901047,Passport,Mr,Byron,Charlie,Burnett,Jr,,Male
901048,Life insurance policy,Ms,Desiree,Dianne,Hayes,,,Female
901049,Hospital certificate,Mr,Clifford,Perry,Knox,,,Male
901050,State-issued ID,Ms,Anna,Cynthia,Mcneil,,,Female
901051,Previously verified school records,Mr,Roberto,Mark,Morse,Jr,,Male
901052,Birth certificate,Ms,Lauri,Leah,Saunders,,,Female
901053,Birth certificate,Mr,Ian,Chris,Humphrey,,,Male
901054,Birth certificate,Ms,Greta,Christa,Brock,,,Female
901055,Other non-official document,Mr,Ted,Lloyd,Mullins,Jr,,Male
901056,Passport,Ms,Roslyn,Tommie,Wade,Jr,,Female
901057,Baptismal or church certificate,Mr,Scott,Douglas,Dale,,,Male
901058,Physicians certificate,Ms,Olga,Bettie,Williams,,,Female
901059,State-issued ID,Mr,Jerome,Sean,Padilla,Jr,,Male
901060,Other non-official document,Ms,Amber,Terry,Whitley,Jr,,Female
901061,Other,Mr,Albert,Marc,Schroeder,,,Male
901062,Baptismal or church certificate,Mr,Richard,Dale,Tate,,,Male
901063,Birth certificate,Mr,Daryl,Henry,Abbott,,,Male
901064,Baptismal or church certificate,Ms,Beverley,Elvia,Atkinson,,,Female
901065,Hospital certificate,Mr,Edgar,Brian,Spence,,,Male
901066,Physicians certificate,Mr,Henry,Edward,Taylor,Jr,,Male
901067,Life insurance policy,Ms,Terri,Amber,Bishop,,,Female
901068,Birth certificate,Ms,Ashley,Elizabeth,Cabrera,,,Female
901069,Hospital certificate,Mr,Ricky,Ian,Rivers,,,Male
901070,Physicians certificate,Mr,Jesse,Ronnie,Glass,,,Male
901071,Baptismal or church certificate,Ms,Karin,Autumn,Duffy,,,Female
901072,Other non-official document,Mr,Gilbert,Leon,Fernandez,,,Male
901073,Birth certificate,Ms,Marianne,Bernadine,Livingston,Jr,,Female
901074,Immigration document/visa,Mr,Gene,Wayne,Aguirre,,,Male
901075,Birth certificate,Mr,Alan,Jeffery,Woods,,,Male
901076,Other non-official document,Ms,Amparo,Mitzi,Carrillo,Jr,,Female
901077,Other non-official document,Mr,Clifton,Howard,King,,,Male
901078,Baptismal or church certificate,Ms,Mayra,Anita,Conley,,,Female
901079,Entry in family Bible,Mr,Harold,Chad,Mcdowell,,,Male
901080,Birth certificate,Ms,Lilian,Eugenia,Cox,Jr,,Female
901081,Entry in family Bible,Mr,Tony,Bobby,Daugherty,,,Male
901082,Other official document,Ms,Shelley,Crystal,Johnson,Jr,,Female
901083,Life insurance policy,Mr,Norman,Tom,Dodson,,,Male
901084,Passport,Mr,Gene,Charlie,Gonzalez,,,Male
901085,Passport,Ms,Alfreda,Latasha,Freeman,,,Female
901086,Hospital certificate,Mr,Jesse,Jorge,Roman,,,Male
901087,Other non-official document,Mr,Walter,Freddie,Donaldson,,,Male
901088,Other,Ms,Georgia,Chelsea,Callahan,,,Female
901089,Baptismal or church certificate,Mr,Seth,Raymond,Battle,,,Male
901090,Physicians certificate,Ms,Nancy,Olga,Pacheco,,,Female
901091,Entry in family Bible,Mr,Fernando,Juan,Casey,,,Male
901092,Entry in family Bible,Ms,Jewel,Marsha,Mendoza,,,Female
901093,Passport,Mr,Rodney,Richard,Underwood,Jr,,Male
901094,Passport,Ms,June,Carlene,Puckett,,,Female
901095,Other,Mr,Kirk,Jamie,Kemp,Jr,,Male
901096,Baptismal or church certificate,Ms,Kristen,Marian,Shelton,,,Female
901097,Passport,Mr,Jaime,Timothy,Morris,,,Male
901098,Other,Mr,Willard,Julio,Whitehead,,,Male
901099,Other official document,Ms,Robbie,Noemi,Bradley,,,Female
901100,Baptismal or church certificate,Ms,Nancy,Cynthia,Miranda,,,Female
901101,Previously verified school records,Mr,Darren,Herbert,Dale,,,Male
901102,Passport,Mr,Ricky,Erik,Sharpe,,,Male
901103,Baptismal or church certificate,Ms,Alyce,Kathleen,Gay,,,Female
901104,Physicians certificate,Mr,Rene,Floyd,Hahn,,,Male
901105,Birth certificate,Mr,Curtis,Benjamin,Blake,,,Male
901106,Birth certificate,Ms,Kristy,Rosanna,Sweet,Jr,,Female
901107,State-issued ID,Mr,Brent,Jesse,Martin,Jr,,Male
901108,Other non-official document,Ms,Tia,Ora,Knapp,,,Female
901109,Physicians certificate,Mr,Francisco,Richard,Frank,Jr,,Male
901110,Entry in family Bible,Ms,Concepcion,Berta,Sargent,,,Female
901111,Immigration document/visa,Mr,Ryan,Kent,Patel,,,Male
901112,Life insurance policy,Ms,Cathleen,Marcy,Curry,Jr,,Female
901113,Hospital certificate,Mr,Michael,Jay,Conway,,,Male
901114,Hospital certificate,Ms,Pauline,Liza,Macdonald,Jr,,Female
901115,Physicians certificate,Mr,Clifton,Herbert,Riddle,,,Male
901116,Hospital certificate,Ms,Joanne,Eunice,Foreman,,,Female
901117,State-issued ID,Ms,Carolyn,Clarissa,Barrett,Jr,,Female
901118,Passport,Mr,Dennis,Mitchell,Hobbs,,,Male
901119,Birth certificate,Mr,Antonio,Martin,Britt,,,Male
901120,Other,Ms,Althea,Judy,Jefferson,Jr,,Female
901121,Other non-official document,Mr,Thomas,Terrence,Mccarthy,,,Male
901122,Immigration document/visa,Ms,Debora,Nikki,Tyler,,,Female
901123,Physicians certificate,Mr,Eugene,Roy,Coleman,,,Male
901124,Physicians certificate,Ms,Eve,Regina,Jarvis,,,Female
901125,Other non-official document,Mr,Brad,Jared,Dalton,,,Male
901126,Other non-official document,Ms,Arlene,Alba,Manning,,,Female
901127,Other official document,Mr,Rick,Steve,Mccormick,,,Male
901128,Baptismal or church certificate,Ms,Marci,Bobbi,Hayes,,,Female
901129,Hospital certificate,Mr,Morris,Julio,Snyder,,,Male
901130,Other,Mr,Benjamin,Chris,Benjamin,,,Male
901131,Other,Ms,Rene,Cathryn,Hewitt,,,Female
901132,Parents affidavit,Ms,Queen,Bobbie,Hanson,,,Female
901133,Baptismal or church certificate,Ms,Deana,Alta,Peck,,,Female
901134,Parents affidavit,Ms,Elnora,Patti,Sharpe,,,Female
901135,Hospital certificate,Ms,Thelma,Martha,Luna,,,Female
901136,Hospital certificate,Mr,Arnold,Derek,Shelton,,,Male
901137,Life insurance policy,Mr,Guy,Leslie,Kirkland,,,Male
901138,Other,Mr,David,Theodore,Farrell,,,Male
901139,Previously verified school records,Mr,Corey,Jessie,Martinez,,,Male
901140,Other non-official document,Ms,Greta,Leigh,Meadows,,,Female
901141,Physicians certificate,Mr,Ivan,Jack,Baker,Jr,,Male
901142,Other,Ms,Laverne,Bertha,Clark,,,Female
901143,Other,Mr,Alexander,Samuel,Reyes,Jr,,Male
901144,Previously verified school records,Ms,Mitzi,Julianne,Conrad,,,Female
901145,Baptismal or church certificate,Ms,Beth,Avis,Fields,,,Female
901146,Parents affidavit,Ms,Terrie,Linda,Fernandez,,,Female
901147,Baptismal or church certificate,Mr,Hugh,Brian,Ellis,,,Male
901148,Immigration document/visa,Ms,Angelique,Jeanne,Murphy,,,Female
901149,Baptismal or church certificate,Mr,Nelson,Gilbert,Pollard,,,Male
901150,Previously verified school records,Ms,Melba,Melody,Hinton,Jr,,Female
901151,Baptismal or church certificate,Mr,John,Chris,Pitts,,,Male
901152,Baptismal or church certificate,Ms,Candace,Bianca,Horn,,,Female
901153,Passport,Mr,Russell,Jay,Walters,Jr,,Male
901154,State-issued ID,Mr,Arthur,Lance,Cameron,,,Male
901155,Life insurance policy,Ms,Clara,Ashley,Gilbert,,,Female
901156,Immigration document/visa,Ms,Magdalena,Margie,Parsons,,,Female
901157,Other non-official document,Mr,Paul,Leon,Blanchard,,,Male
901158,Parents affidavit,Ms,Carmela,Nettie,Ellison,,,Female
901159,State-issued ID,Mr,Phillip,Carlos,Baird,,,Male
901160,Immigration document/visa,Ms,Trina,Anastasia,Faulkner,,,Female
901161,Entry in family Bible,Ms,Zelma,Christie,Bradley,,,Female
901162,Other non-official document,Mr,Jesus,Francis,Carson,,,Male
901163,Baptismal or church certificate,Ms,Evangelina,Emily,Estes,,,Female
901164,Previously verified school records,Mr,Hector,Felix,Potter,,,Male
901165,Entry in family Bible,Ms,Valerie,Cecilia,Abbott,,,Female
901166,Birth certificate,Mr,Darrell,Rick,Bond,Jr,,Male
901167,Birth certificate,Ms,Nadia,Jean,English,,,Female
901168,Other non-official document,Ms,Kitty,Joanne,Blankenship,,,Female
901169,State-issued ID,Ms,Helena,Carmela,Davis,,,Female
901170,Other,Mr,Brian,Antonio,Vaughan,,,Male
901171,Hospital certificate,Ms,Tisha,Bridget,Hurley,,,Female
901172,Passport,Ms,Gladys,Brianna,Mcguire,,,Female
901173,Life insurance policy,Mr,Theodore,Wallace,Allison,,,Male
901174,Hospital certificate,Ms,Elisabeth,Chris,Holt,,,Female
901175,Parents affidavit,Mr,Chris,Gary,Mitchell,,,Male
901176,Entry in family Bible,Ms,Luisa,Rhonda,Rocha,,,Female
901177,Birth certificate,Ms,Blanca,Lillian,Morse,,,Female
901178,Entry in family Bible,Mr,Ben,Ralph,Nichols,,,Male
901179,Immigration document/visa,Ms,Annette,Alfreda,Hayden,,,Female
901180,Previously verified school records,Ms,Alicia,Concepcion,Fisher,,,Female
901181,Birth certificate,Mr,Troy,Mitchell,Warner,,,Male
901182,Parents affidavit,Ms,Carolina,Anastasia,Berg,,,Female
901183,Parents affidavit,Ms,Jan,Shawna,Woods,,,Female
901184,Life insurance policy,Ms,Bobbi,Gretchen,Wolfe,Jr,,Female
901185,Physicians certificate,Mr,Darrell,Roy,Justice,Jr,,Male
901186,Immigration document/visa,Ms,Lacy,Julia,Medina,Jr,,Female
901187,Passport,Mr,Martin,Jerome,Pratt,,,Male
901188,Baptismal or church certificate,Ms,Dora,Bobbie,Wheeler,,,Female
901189,Baptismal or church certificate,Mr,Andrew,Leonard,Johnston,Jr,,Male
901190,Birth certificate,Ms,Marietta,Anastasia,Duffy,,,Female
901191,Parents affidavit,Mr,Franklin,Tony,Swanson,Jr,,Male
901192,Hospital certificate,Ms,Ava,Willa,Kemp,Jr,,Female
901193,State-issued ID,Mr,Joseph,Terrance,Mccullough,,,Male
901194,Parents affidavit,Ms,Elisabeth,Clare,Gentry,,,Female
901195,Entry in family Bible,Ms,Kirsten,Marisa,Rodriquez,,,Female
